央视频道,#genre#
更新日期: 2026-9-7 06:57:19,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV1综合,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV2财经,http://txycdn.video.qq.com/1370417303.m3u8?time=1788678434&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIDb0SFCSvM1_-AOGcQ92VmnNmDdgG6LoFguyfkH4MwfSEP9g9lbhf3lLGYtr1FlUPC4BcCzkThvMtIqkPOQLcRdBttPFQwyYyXGd_M_xaApK-U3dGSVeHhktYn2jtTPnQJRMwbwiOSiDipv_FhflMgppBXpeJ4ViBZNneSwE0KYN4Yw85iQTw1DNcKvaIklkw0CdkPY-4MU3SVnEyCcVB7tVjuifIxy8cacA1ACXrm7Hu7AKMY2gmRuDQR7D4L6xWnANZw1zsW2fuTaXfkq0Jg_otT1vNEA3rwURnyyNu6IdpVdllHeF1znjAIz_CalXN_PP_Ub_V-W47SIj444HzsGefdF4aWCVq5d-HOHGncfyH8yMyhUS-TRP24TwPC97fHxKeI4C7f4Dby-oDbhEbV_oKRse-COJRvx_MNRr5_kwhKNG-g7V5dUMW2etoEKp34g53DlsRXhugMozOzv5ayEtUDJzQ0qnyCF8pisFcOhRL9TAQwx16QpsSLHr0lVY-GDbTVlyVIuz1ircakRprLVxB3PCw7W9olVh3zxgtwTSGGvw&drmtype=0
CCTV3综艺,http://txycdn.video.qq.com/1370781403.m3u8?time=1788678423&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIOPJt6Gr0uQ2VRDYZ0zKLTjw2QvypaAB53ZMu6HO2LIwEOO8pVASi0HS0lfRj8Z9FR8BcBZ625uPzQJgvfFoMHRbLV3Hl8eyGloHlOz57OJRcjoKclhA4bGm3D3HXGkt0g1WdzYc1MXw9W06f1qDBrwhsjlByv8Xl3Hm3WqID7gwi88K0WX4iUilyJ3uIna6VIEdr63x_9cnUeAyO0uFqSU9nOPCsdvIGLJBOCGG-OF0qRLY6vzocIAnQYih_LZZkLSHBUaiONE8iLueGElPl9ewmsCeKoO-fevsIxSuNxqsFbQoAUPuSnf7221CRS1olrmotOtY04rB4Yel0duNgr0yF0ioboJNN78LBN1-DOIMwK0vD37HCsxwGk3FYUgiB-PsfVrPi0vk8XObBfnGpDoR-yspuCv6jtdEeePcqaDQb58fd1C_n8Y5xueY4eqG4mQvQ0AaJEK3BSWQ5Vn970PYWAYEgwE_3N4ye7348NT9DAnImEH0u1cKANd1wQFOeHQUGTX8TYXjVkwAun-389BkTC-D4Q20re8SuUhHUtyhbbid&drmtype=0
CCTV4中文国际,http://txycdn.video.qq.com/1755787503.m3u8?time=1788678413&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIL9ZoEgjKehMKteB-y_wXKDX34i_VGfC2LBfhVkoxD5uEMFuijULxAa_Tud1CE983ucBcAH3p-SPQKpG60nV9lPlD4EFphbAZsh2uxN3VNqrgQ5jjPGtjZL7aJ1C3u8AjuKi8I7GdD_B2c42YMPcdkIFpilGORG30nlcUXlZ67i3m31_hbvZ4vg3x27LGmZA5wDnLdq82flBye__0jPU4wHTvcACCY4YeoEbLI6GLCxhqloyuPVzpfyD3vyaKbEExRq2x66brmEk28bPawbiNUKMJRpHfGiWXxHboytqvW1Qxbv84C8rSCUeIZkNRT3ilJH4qzPxp4NL-kIR1kU9wv4m9tE3gHPotqFd7UH94lGqanH4a_vUgMum24CGYzImvdaVOELEQKOkVidTbjbJ4CgwlaxzlfLUXT69W4pHN33kg5fyZIrF7All6nOv9kbZRxx8fEzlf5prNPfKtr9R5-6d3-Y8QoGbeuRqmoEMON5lu2R6o6gXBtKikl_UmayBJTA4CYlUHP-xgEr9irKgtyT1VJO2XWxQSF3CGCePMhbJk-DO&drmtype=0
CCTV5体育,http://txycdn.video.qq.com/1369718503.m3u8?time=1788678687&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIHu25yak3bsRltB3Qy9wambssChbUBNGY-eudd6DqiU2EGdsBUTFoIbvB9wjYSVe8icBcAqlBf154zo6tTBr4_S_wkiBq0jMauCbYILhzBG2UmpPcs7JzQvU-f1bhs_7taBzxi3JZBnVR7J-bByH1P5vptitTGEFU_Hou_q9YyUUQpyWC1Ml7WssbzTmze2BewKhLoA4SN3m3xPiwim4vF_cRnm4qFZJ-aPprhxV4lQgqpeCfhJEx4ze6UvOV3iRwOG9whFY-bL-U3GhKkc7IVNIA5HT1jSsarm2_fhd8vyZArqNerbg5QCbU2f6y-StfM5Phz8WM42asIww5WfQIqbJYgh0fjHW3OR7kLvf1s5WUCULuVzYaINuiJ5uRs9mP_SF4ang8xUGUnCZb-hYS-UFwuMR2OitiXzsZpmDghFy37TQeoT2s0G2uuhmcrK0xqP08YGTOXupsuCRHT8QZkm2-YZgmWwbcVXfWwgU2ZUKLTow0fqDzL5C2O3ZvTaLdVTZyfAF7bd-Z_n_pVFmQvfxeyaQXZlcj6i6uHpUlXYljvem&drmtype=0
CCTV5体育,http://txycdn7.video.qq.com/1369718502.m3u8?time=1788734242&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgICQGaapSVqEhdjwtkBCxGbCU42h5vC8nnSY8I3FiV3gMEETh-c5Eo3VFDTrGRfHU6jEBcP5xPCs9OFzW_CuvThkLxk9KnWX9_5QXV1tWlJ_hBCow4a-slTGp20FLCtMQB5fy_tmakyWNU0RzCwGtq4ecj4Zx7g3uUQqcHJv3P60cXDP4kczIFtI9AIZrHUDLAC2lq7vIr8BbV9FdL_GZit3Ez_ztlOOFSFzDNwT94NTo7uXaQhHYBSH8YQ-DUe6FoKvNv32cCJaJK8Zx1tR4Fwi_nezkyBZF7CmM09yFMSBHtSMCfGSTwU-IfhVavHHuWbVj30CvlJ9-2AQ7q5jr-n8eJ9s6S0mp5SbRIR-vYFXJWuEYz3LbQWN7AN64zqnz3FQe-w0jWs5ymZH9goRyZmhKqdzs2vT9Co_a7NmnpLrMY09HBiGfHiwWhTsCZ2d00jk-tXa35d7g6tO31ZU1mEgc87W5yWTlhwXCc1hbAifDDwCor1AxdJGbwFmKluwdtFu8cw9FF1LF_EGqGGwOwwd6t0lDzwNEnWDLs28A3eEKo9Oa&drmtype=0
CCTV6电影,http://txycdn.video.qq.com/1755771403.m3u8?time=1788678392&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIOq022eeoQZkjRssx0WPr0qqoUY3PU49F8vCPdfumm8PEKitv6JPehxU9371fXDNWdoBcEE3e0xI_0_fgn_b6CVYkMnC9i9Rq9RIcLVousGrmTWAoEgMCNMvmgpC8Mulmpdh7PYz5ZWd8_WpA_86oaz1C71JQDh1TRBrnVksBDcr_fumqE1H9gCZL3Yx1SK_PDdsZhxGnUqo5BEYSeJiz4rkCTD6EyO-ldEHVslvYfuh7c4_Ef69qjR44WSWLTUTLpzPw6Y1CgagEux_T3qjk5MvHscffeDgjSEzVsL_VBjdzSw37PpeD9DW8H0BRsr7xvwqexO1qkDnTqu0WtTR7lRJELC3vSMbVTMKn2AtTaZLudgVbk8cqu0Kqh1bCrsZWaUaM3tL9CHdhrDWSWiSgXjc4uaWh9FHWGSCIfMTgtsIEqkqlHLqWofC0syCxM93YFSyEQCPyYqbEwAanheESshDQBCBUC5bcLURkyIl08y4z3Ghps2_agbLRJx6fzBfZQHPM385Ooz8lvD1XPzmxtmJEzxJqt1espJyVf5koFlSxm3k&drmtype=0
CCTV7国防军事,http://txycdn.video.qq.com/1370436303.m3u8?time=1788678381&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIEEghjheUWYsiCN7qzki3KpsFE-lkG6WQdMlG4CXFHCmEOLaepocNUSQLAhIpOrGv6wBcCA6uMp0xQOEgv2oSHxBTy4z0_IFsT83giO0p6vE1gf3If3tC7ZtS9WniIDpyuNCZ2zZjuJKAZ-JZZXveLlnWsWaGakw_-vgrMc6iauWwJ2gBBYrLrAanVAPFOBMS3co4I3JERR2EHAg1RHc0Yi7gBnorHHpLviCGJ5cgqUDARZ7oDyWREdBOM5nJbGePcPjc19RAEgqgUuw6pPmFzHOUSkQixw-01g4tmCQNHP5pUAXLpSlXdb7BaYuiPefAR1Ku3sOojyqOyHvHKe1vTivzWMaPh1cNkz6vYv5LTP5KFzI0fBXCTZ4OX7McRJDPAUUaJJkSudTSK3Z2_Wwf6rGipQVkkX5lWph8zI5G1gu9ZAgmxm6S0PBj96f2Ekm_2RKxV96TgWYWq-D_pwGgVtvML-_r6dK2fHzqTrvmIfu_pbaveq2krFI3TD6wCddjlXHXODb_70Ye0OwyATlIf_OIL_UByKrbZuVhK7TQl9SQgde&drmtype=0
CCTV8电视剧,http://txycdn3.video.qq.com/1370436702.m3u8?time=1788734211&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIMzxNCeIYHbg2zD2ThCU1ovWCtWRDgpfJYizhhyJI_LNEGAnEmGEu02KBqWUHVFmy1EBcMKcBKFnLKOocMVvk3Sl7_biRZB76cXrur7bOflYr6jVZEiQHAB9ve9xUeW0j843Pn4m3ZOi2P1wRYmhq6YsKBBrv2757SSxDgwXnlQOCCC8WSi5_9HaG2qsX5za4tImlpetlGkJjv9Cs0ZW7U6-RR9-kim0kJjGY9ATTfel2ls1m6HlJbXyRmbnPonVetDC-pX7T70g1AGU_D4GdvjvRqhO81ErSb8njNq02PzXvbomEic9419f5IQxs_JvCgHeC5QqAO0ELogPaqHblijLOpVb21REpzRZWhUpLzEfCIEv8VQSgUeJIpQd6Gb2RTfvXr37TZfR1eJiOl2GNGvUy3zKYhZtilm7cOSh9HItdggkMAMsgCs1Qx1kGtSmrgedOHEdfPn-utktvHcmDbunaDd5DAQXNr_5iUhNwhKw5rVDQqk6pLi0dSMhPXHsP41q924EVwSurnpm6_A-TEa2PEtvyvCOor7kkcUyAc36s2du&drmtype=0
